id,timestamp_utc,session_id,mmsi,latitude,longitude,speed_knots,course_deg,heading_deg,nav_status,message_type,ship_type_code,ship_name,ship_category,hour
11705,2026-06-08 20:53:38.330176+00:00,20260608_195523,319617000,36.81696166666666,28.27312833333333,0.0,28.1,107.0,1,PositionReport,37.0,LADY SURA,Pleasure Craft,20
11706,2026-06-08 20:53:38.330284+00:00,20260608_195523,319160400,36.5971,27.940921666666668,7.5,162.0,156.0,0,PositionReport,37.0,NEXUS,Pleasure Craft,20
11719,2026-06-08 20:53:42.019413+00:00,20260608_195523,256003728,37.01581833333333,27.442321666666665,0.0,360.0,511.0,1,PositionReport,37.0,BUCKETLIST10,Pleasure Craft,20
11720,2026-06-08 20:53:42.428224+00:00,20260608_195523,305047300,36.68745833333333,26.786266666666663,11.7,160.9,160.0,0,PositionReport,70.0,ADAM CROWN,Cargo,20
11748,2026-06-08 20:53:50.095579+00:00,20260608_195523,271044344,37.032095,27.427805,0.0,36.0,302.0,5,PositionReport,51.0,KIYEM 6,SAR,20
11751,2026-06-08 20:53:51.289778+00:00,20260608_195523,241886000,36.44792833333334,28.231426666666668,3.9,359.6,14.0,3,PositionReport,52.0,CAPTAIN DIMITRIS V,Tug,20
11761,2026-06-08 20:53:55.467357+00:00,20260608_195523,477238600,36.31496666666667,27.04972666666667,13.6,310.6,315.0,0,PositionReport,79.0,SEAPOWER I,Cargo,20
11763,2026-06-08 20:53:56.185781+00:00,20260608_195523,636019197,36.678045,26.52030166666667,15.7,137.4,136.0,0,PositionReport,,,Unknown,20
11768,2026-06-08 20:53:56.858635+00:00,20260608_195523,271002446,37.02464,27.43831,0.3,0.0,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,20
11778,2026-06-08 20:53:59.276668+00:00,20260608_195523,249010000,36.48065333333333,27.971845,13.2,243.7,243.0,0,PositionReport,60.0,AROYA,Passenger,20
11788,2026-06-08 20:54:01.200837+00:00,20260608_195523,352003824,37.01482,27.450276666666664,0.0,360.0,254.0,13,PositionReport,37.0,SEVEN,Pleasure Craft,20
11796,2026-06-08 20:54:02.852080+00:00,20260608_195523,341776000,36.47161166666667,28.164491666666667,11.4,274.0,273.0,0,PositionReport,60.0,BLUE SAPPHIRE,Passenger,20
11803,2026-06-08 20:54:04.754847+00:00,20260608_195523,271053578,37.03417666666667,27.42771,0.0,360.0,511.0,1,PositionReport,36.0,GITANE,Sailing Yacht,20
11810,2026-06-08 20:54:06.944187+00:00,20260608_195523,341608002,36.32156666666666,28.75156666666667,11.0,107.1,113.0,0,PositionReport,70.0,BON,Cargo,20
11815,2026-06-08 20:54:08.030171+00:00,20260608_195523,271045885,37.01536333333333,27.439386666666667,0.1,33.9,511.0,1,PositionReport,67.0,ARIELA,Passenger,20
11818,2026-06-08 20:54:09.517051+00:00,20260608_195523,511101443,37.032165,27.42632,0.0,176.3,511.0,9,PositionReport,60.0,SEA STAR KOS,Passenger,20
